Wohnfläche,Baujahr_kl,Grundpreis_eur_m2
20-22,bis1918,19.36
23-24,bis1918,18.57
25-26,bis1918,17.85
27-28,bis1918,17.18
29-30,bis1918,16.57
31-32,bis1918,16.0
33-34,bis1918,15.49
35-36,bis1918,15.02
37-38,bis1918,14.6
39-40,bis1918,14.21
41-42,bis1918,13.87
43-44,bis1918,13.56
45-46,bis1918,13.28
47-48,bis1918,13.03
49-50,bis1918,12.81
51-52,bis1918,12.62
53-54,bis1918,12.44
55-56,bis1918,12.29
57-58,bis1918,12.15
59-60,bis1918,12.03
61-62,bis1918,11.91
63-64,bis1918,11.81
65-66,bis1918,11.71
67-68,bis1918,11.61
69-70,bis1918,11.52
71-72,bis1918,11.43
73-74,bis1918,11.33
75-76,bis1918,11.24
77-78,bis1918,11.16
79-80,bis1918,11.07
81-82,bis1918,10.99
83-84,bis1918,10.91
85-86,bis1918,10.83
87-88,bis1918,10.75
89-90,bis1918,10.68
91-92,bis1918,10.62
93-94,bis1918,10.55
95-96,bis1918,10.49
97-98,bis1918,10.44
99-100,bis1918,10.39
101-102,bis1918,10.35
103-104,bis1918,10.31
105-106,bis1918,10.27
107-108,bis1918,10.25
109-110,bis1918,10.23
111-112,bis1918,10.21
113-114,bis1918,10.2
115-116,bis1918,10.2
117-118,bis1918,10.21
119-120,bis1918,10.22
121-122,bis1918,10.23
123-124,bis1918,10.26
125-126,bis1918,10.28
127-128,bis1918,10.31
129-130,bis1918,10.35
131-132,bis1918,10.38
133-134,bis1918,10.42
135-136,bis1918,10.46
137-138,bis1918,10.5
139-140,bis1918,10.55
141-142,bis1918,10.59
143-144,bis1918,10.63
145-146,bis1918,10.68
147-148,bis1918,10.72
149-150,bis1918,10.76
151-152,bis1918,10.79
153-154,bis1918,10.83
155-156,bis1918,10.86
157-158,bis1918,10.89
159-160,bis1918,10.91
20-22,1919-1929,19.15
23-24,1919-1929,18.36
25-26,1919-1929,17.64
27-28,1919-1929,16.97
29-30,1919-1929,16.36
31-32,1919-1929,15.79
33-34,1919-1929,15.28
35-36,1919-1929,14.81
37-38,1919-1929,14.39
39-40,1919-1929,14.0
41-42,1919-1929,13.66
43-44,1919-1929,13.35
45-46,1919-1929,13.07
47-48,1919-1929,12.82
49-50,1919-1929,12.6
51-52,1919-1929,12.41
53-54,1919-1929,12.23
55-56,1919-1929,12.08
57-58,1919-1929,11.94
59-60,1919-1929,11.82
61-62,1919-1929,11.7
63-64,1919-1929,11.6
65-66,1919-1929,11.5
67-68,1919-1929,11.41
69-70,1919-1929,11.31
71-72,1919-1929,11.22
73-74,1919-1929,11.13
75-76,1919-1929,11.03
77-78,1919-1929,10.95
79-80,1919-1929,10.86
81-82,1919-1929,10.78
83-84,1919-1929,10.7
85-86,1919-1929,10.62
87-88,1919-1929,10.54
89-90,1919-1929,10.47
91-92,1919-1929,10.41
93-94,1919-1929,10.34
95-96,1919-1929,10.28
97-98,1919-1929,10.23
99-100,1919-1929,10.18
101-102,1919-1929,10.14
103-104,1919-1929,10.1
105-106,1919-1929,10.06
107-108,1919-1929,10.04
109-110,1919-1929,10.02
111-112,1919-1929,10.0
113-114,1919-1929,9.99
115-116,1919-1929,9.99
117-118,1919-1929,10.0
119-120,1919-1929,10.01
121-122,1919-1929,10.02
123-124,1919-1929,10.05
125-126,1919-1929,10.07
127-128,1919-1929,10.1
129-130,1919-1929,10.14
131-132,1919-1929,10.17
133-134,1919-1929,10.21
135-136,1919-1929,10.25
137-138,1919-1929,10.29
139-140,1919-1929,10.34
141-142,1919-1929,10.38
143-144,1919-1929,10.42
145-146,1919-1929,10.47
147-148,1919-1929,10.51
149-150,1919-1929,10.55
151-152,1919-1929,10.59
153-154,1919-1929,10.62
155-156,1919-1929,10.65
157-158,1919-1929,10.68
159-160,1919-1929,10.7
20-22,1930-1948,18.95
23-24,1930-1948,18.16
25-26,1930-1948,17.44
27-28,1930-1948,16.77
29-30,1930-1948,16.15
31-32,1930-1948,15.59
33-34,1930-1948,15.08
35-36,1930-1948,14.61
37-38,1930-1948,14.19
39-40,1930-1948,13.8
41-42,1930-1948,13.46
43-44,1930-1948,13.15
45-46,1930-1948,12.87
47-48,1930-1948,12.62
49-50,1930-1948,12.4
51-52,1930-1948,12.21
53-54,1930-1948,12.03
55-56,1930-1948,11.88
57-58,1930-1948,11.74
59-60,1930-1948,11.62
61-62,1930-1948,11.5
63-64,1930-1948,11.4
65-66,1930-1948,11.3
67-68,1930-1948,11.2
69-70,1930-1948,11.11
71-72,1930-1948,11.01
73-74,1930-1948,10.92
75-76,1930-1948,10.83
77-78,1930-1948,10.74
79-80,1930-1948,10.66
81-82,1930-1948,10.58
83-84,1930-1948,10.49
85-86,1930-1948,10.42
87-88,1930-1948,10.34
89-90,1930-1948,10.27
91-92,1930-1948,10.2
93-94,1930-1948,10.14
95-96,1930-1948,10.08
97-98,1930-1948,10.03
99-100,1930-1948,9.98
101-102,1930-1948,9.93
103-104,1930-1948,9.9
105-106,1930-1948,9.86
107-108,1930-1948,9.83
109-110,1930-1948,9.81
111-112,1930-1948,9.8
113-114,1930-1948,9.79
115-116,1930-1948,9.79
117-118,1930-1948,9.79
119-120,1930-1948,9.81
121-122,1930-1948,9.82
123-124,1930-1948,9.84
125-126,1930-1948,9.87
127-128,1930-1948,9.9
129-130,1930-1948,9.93
131-132,1930-1948,9.97
133-134,1930-1948,10.01
135-136,1930-1948,10.05
137-138,1930-1948,10.09
139-140,1930-1948,10.14
141-142,1930-1948,10.18
143-144,1930-1948,10.22
145-146,1930-1948,10.26
147-148,1930-1948,10.31
149-150,1930-1948,10.35
151-152,1930-1948,10.38
153-154,1930-1948,10.42
155-156,1930-1948,10.45
157-158,1930-1948,10.48
159-160,1930-1948,10.5
20-22,1949-1966,19.29
23-24,1949-1966,18.51
25-26,1949-1966,17.78
27-28,1949-1966,17.11
29-30,1949-1966,16.5
31-32,1949-1966,15.94
33-34,1949-1966,15.42
35-36,1949-1966,14.96
37-38,1949-1966,14.53
39-40,1949-1966,14.15
41-42,1949-1966,13.8
43-44,1949-1966,13.49
45-46,1949-1966,13.21
47-48,1949-1966,12.97
49-50,1949-1966,12.75
51-52,1949-1966,12.55
53-54,1949-1966,12.38
55-56,1949-1966,12.22
57-58,1949-1966,12.09
59-60,1949-1966,11.96
61-62,1949-1966,11.85
63-64,1949-1966,11.74
65-66,1949-1966,11.64
67-68,1949-1966,11.55
69-70,1949-1966,11.45
71-72,1949-1966,11.36
73-74,1949-1966,11.27
75-76,1949-1966,11.18
77-78,1949-1966,11.09
79-80,1949-1966,11.0
81-82,1949-1966,10.92
83-84,1949-1966,10.84
85-86,1949-1966,10.76
87-88,1949-1966,10.69
89-90,1949-1966,10.62
91-92,1949-1966,10.55
93-94,1949-1966,10.49
95-96,1949-1966,10.43
97-98,1949-1966,10.37
99-100,1949-1966,10.32
101-102,1949-1966,10.28
103-104,1949-1966,10.24
105-106,1949-1966,10.21
107-108,1949-1966,10.18
109-110,1949-1966,10.16
111-112,1949-1966,10.14
113-114,1949-1966,10.14
115-116,1949-1966,10.13
117-118,1949-1966,10.14
119-120,1949-1966,10.15
121-122,1949-1966,10.17
123-124,1949-1966,10.19
125-126,1949-1966,10.22
127-128,1949-1966,10.25
129-130,1949-1966,10.28
131-132,1949-1966,10.32
133-134,1949-1966,10.36
135-136,1949-1966,10.4
137-138,1949-1966,10.44
139-140,1949-1966,10.48
141-142,1949-1966,10.52
143-144,1949-1966,10.57
145-146,1949-1966,10.61
147-148,1949-1966,10.65
149-150,1949-1966,10.69
151-152,1949-1966,10.73
153-154,1949-1966,10.76
155-156,1949-1966,10.79
157-158,1949-1966,10.82
159-160,1949-1966,10.84
20-22,1967-1977,19.46
23-24,1967-1977,18.68
25-26,1967-1977,17.95
27-28,1967-1977,17.28
29-30,1967-1977,16.67
31-32,1967-1977,16.11
33-34,1967-1977,15.59
35-36,1967-1977,15.13
37-38,1967-1977,14.7
39-40,1967-1977,14.32
41-42,1967-1977,13.97
43-44,1967-1977,13.66
