Indikator,Auspraegung,Jahr,Raumbezug,Indikatorwert,Basiswert1,Basiswert2,Basiswert3,Basiswert4,Basiswert5,NameBasiswert1,NameBasiswert2,NameBasiswert3,NameBasiswert4,NameBasiswert5
Baugenehmigungen,Wohnfläche,2023,Stadt München,73.5,602332,8197,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2023,01 Altstadt - Lehel,88.0,0,0,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2023,02 Ludwigsvorstadt - Isarvorstadt,70.6,11147,158,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2023,03 Maxvorstadt,69.1,19772,286,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2023,04 Schwabing - West,57.6,12279,213,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2023,05 Au - Haidhausen,43.3,21244,491,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2023,06 Sendling,80.8,12600,156,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2023,07 Sendling - Westpark,76.3,9844,129,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2023,08 Schwanthalerhöhe,57.3,172,3,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2023,09 Neuhausen - Nymphenburg,93.0,16548,178,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2023,10 Moosach,71.4,35619,499,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2023,11 Milbertshofen - Am Hart,79.9,9505,119,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2023,12 Schwabing - Freimann,77.4,41720,539,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2023,13 Bogenhausen,112.4,43255,385,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2023,14 Berg am Laim,92.3,9048,98,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2023,15 Trudering - Riem,80.9,46267,572,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2023,16 Ramersdorf - Perlach,72.6,30122,415,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2023,17 Obergiesing - Fasangarten,61.7,25429,412,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2023,18 Untergiesing - Harlaching,61.4,25346,413,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2023,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,83.9,38614,460,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2023,20 Hadern,70.5,13473,191,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2023,21 Pasing - Obermenzing,68.6,60364,880,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2023,22 Aubing - Lochhausen - Langwied,71.2,58831,826,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2023,23 Allach - Untermenzing,94.0,16821,179,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2023,24 Feldmoching - Hasenbergl,70.2,36097,514,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2023,25 Laim,101.4,8215,81,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2022,Stadt München,74.6,498293,6677,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2022,01 Altstadt - Lehel,66.4,1261,19,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2022,02 Ludwigsvorstadt - Isarvorstadt,68.3,273,4,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2022,03 Maxvorstadt,87.8,5704,65,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2022,04 Schwabing - West,39.7,6116,154,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2022,05 Au - Haidhausen,56.1,14248,254,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2022,06 Sendling,96.0,2687,28,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2022,07 Sendling - Westpark,79.2,9580,121,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2022,08 Schwanthalerhöhe,50.8,5686,112,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2022,09 Neuhausen - Nymphenburg,61.8,37662,609,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2022,10 Moosach,74.1,20010,270,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
