statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2024;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;81962506;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2024;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;30974745;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2023;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;80710519;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2023;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;30002066;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2022;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;76066974;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2022;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;27124727;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2021;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;54124668;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2021;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;INLAND;Inland;16903489;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2020;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;;Insgesamt;59962427;Anzahl;GUEB03;Gästeübernachtungen in Beherbergungsbetrieben
45511;Monatserhebung im Tourismus;JAHR;Berichtsjahr;2020;DLAND;Bundesland;9;Bayern;HERKG1;Herkunft der Gäste;;Insgesamt;19832155;Anzahl;GANK03;Gästeankünfte in Beherbergungsbetrieben
